tokens	ner_tags	langs	spans
"['Saint-Denis-du-Pin' ""''"" '(' 'km' '38' ')' ""''""]"	[5 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Saint-Denis-du-Pin']
['Université' 'Nice' 'Sophia' 'Antipolis']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Université Nice Sophia Antipolis']
"['Liste' 'des' 'communes' 'du' ""Val-d'Oise""]"	[5 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr']	"[""LOC: Liste des communes du Val-d'Oise""]"
['Il' 'y' 'rencontre' 'Jacques' 'Prévert' '.']	[0 0 0 1 2 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Jacques Prévert']
['Parti' 'national' 'paysan' 'chrétien' 'démocrate']	[3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Parti national paysan chrétien démocrate']
['La' 'Désirade' '(' 'commune' ')' '|' 'La' 'Désirade' '(' 'île' ')']	[5 6 6 6 6 0 3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: La Désirade ( commune )' 'ORG: La Désirade ( île )']
['*PLC' '=' 'Parti' 'libéral' 'du' 'Canada']	[0 0 3 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Parti libéral du Canada']
"[""'"" ""''"" 'Jacques' 'Villeret' ""''"" ""'"" '[C]']"	[0 0 1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Jacques Villeret']
['Josip' 'Broz' 'Tito']	[1 2 2]	['fr' 'fr' 'fr']	['PER: Josip Broz Tito']
['Committee' 'for' 'Skeptical' 'Inquiry']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Committee for Skeptical Inquiry']
"['Il' 'sort' 'vainqueur' 'des' 'élections' 'législatives' 'de' '2002'
 'avec' '53,76' '%' 'des' 'voix' 'face' 'à' 'son' 'opposant' 'Verts'
 'Stéphane' 'Pocrain' '.']"	[0 0 0 0 3 4 4 4 0 0 0 0 0 0 0 0 0 3 1 2 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']"	"['ORG: élections législatives de 2002' 'ORG: Verts'
 'PER: Stéphane Pocrain']"
['Île' 'Bathurst' '(' 'Australie' ')']	[5 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Île Bathurst ( Australie )']
"['Il' 'évolue' 'dans' 'la' 'MOL' 'Liga' 'et' 'le' 'Championnat' 'de'
 'Hongrie' 'de' 'hockey' 'sur' 'glace' '.']"	[0 0 0 0 3 4 0 0 3 4 4 4 4 4 4 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr']"	['ORG: MOL Liga' 'ORG: Championnat de Hongrie de hockey sur glace']
"['Saint-Sigismond]]' ',' 'Sougy' ',' 'Tournoisis' ',' 'Trinay' ','
 'Villamblain' ',' 'Villeneuve-sur-Conie' '.']"	[0 0 5 0 5 0 5 0 5 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"['LOC: Sougy' 'LOC: Tournoisis' 'LOC: Trinay' 'LOC: Villamblain'
 'LOC: Villeneuve-sur-Conie']"
['Église' 'unie' 'du' 'Canada']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Église unie du Canada']
['Championnats' 'du' 'monde' 'de' 'ski' 'nordique' '1997' '-' 'Trondheim']	[3 4 4 4 4 4 4 0 5]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Championnats du monde de ski nordique 1997' 'LOC: Trondheim']
['Ōi' '(' 'ville' ')']	[5 6 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Ōi ( ville )']
"['Missy' 'Franklin' ')' 'Dana' 'Vollmer' ')' 'Shannon' 'Vreeland' '(' ')'
 'Allison' 'Schmitt' ')']"	[1 2 0 1 2 0 1 2 0 0 1 2 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"['PER: Missy Franklin' 'PER: Dana Vollmer' 'PER: Shannon Vreeland'
 'PER: Allison Schmitt']"
['Francisco' 'Morales' 'Bermúdez' 'Cerruti']	[1 2 2 2]	['fr' 'fr' 'fr' 'fr']	['PER: Francisco Morales Bermúdez Cerruti']
"['Il' 'est' 'ensuite' 'transporté' 'vers' 'Compiègne' 'et' 'reçoit'
 'Noyon' 'comme' 'objectif' ',' ""qu'il"" 'ne' 'parvient' 'pas' 'à'
 'prendre' '.']"	[0 0 0 0 0 5 0 0 5 0 0 0 0 0 0 0 0 0 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr' 'fr' 'fr']"	['LOC: Compiègne' 'LOC: Noyon']
"['Hotel' 'California' ""''"" ',' 'Eagles']"	[3 4 0 0 3]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Hotel California' 'ORG: Eagles']
"[""'"" ""''"" 'Mark' 'Merklein' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Mark Merklein']
"['FBI' ':' 'Duo' 'très' 'spécial' ""''""]"	[3 4 4 4 4 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: FBI : Duo très spécial']
['====' 'Province' 'de' 'Cáceres' '====']	[0 5 6 6 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Province de Cáceres']
"['Elle' 'se' 'rencontre' 'en' 'Australie-Méridionale' ',' 'au'
 'Territoire' 'du' 'Nord' ',' 'au' 'Queensland' ',' 'en' 'Nouvelle-Galles'
 'du' 'Sud' 'et' 'au' 'Victoria' '.']"	[0 0 0 0 5 0 0 5 6 6 0 0 5 0 0 5 6 6 0 0 5 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']"	"['LOC: Australie-Méridionale' 'LOC: Territoire du Nord' 'LOC: Queensland'
 'LOC: Nouvelle-Galles du Sud' 'LOC: Victoria']"
"['Il' 'a' 'pour' 'maîtres' 'les' 'célèbres' 'Claude' 'Lancelot' ','
 'Pierre' 'Nicole' 'et' 'Antoine' 'Le' 'Maistre' ',' 'ainsi' 'que' 'Jean'
 'Hamon' '.']"	[0 0 0 0 0 0 1 2 0 1 2 0 1 2 2 0 0 0 1 2 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']"	"['PER: Claude Lancelot' 'PER: Pierre Nicole' 'PER: Antoine Le Maistre'
 'PER: Jean Hamon']"
['REDIRECTION' 'Numéro' 'cinq' '(' 'Battlestar' 'Galactica' ')']	[0 1 2 2 2 2 2]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Numéro cinq ( Battlestar Galactica )']
['REDIRECTION' 'Jardins' 'du' 'Bosquet']	[0 5 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Jardins du Bosquet']
['La' 'Palma' 'del' 'Condado' '(' 'Huelva' ')' '.']	[5 6 6 6 0 5 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: La Palma del Condado' 'LOC: Huelva']
['==' 'Amérique' 'du' 'Nord' '==']	[0 5 6 6 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Amérique du Nord']
"['Fabio' 'Felline' 'est' 'le' 'plus' 'rapide' 'et' 'lui' 'termine'
 'onzième' '.']"	[1 2 0 0 0 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Fabio Felline']
"['12' 'sélections' 'en' 'équipe' ""d'Argentine""]"	[0 0 0 3 4]	['fr' 'fr' 'fr' 'fr' 'fr']	"[""ORG: équipe d'Argentine""]"
['Communauté' 'de' 'communes' 'Moret' 'Seine' 'et' 'Loing']	[3 4 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Communauté de communes Moret Seine et Loing']
['Pedro' 'Juan' 'Gutiérrez']	[1 2 2]	['fr' 'fr' 'fr']	['PER: Pedro Juan Gutiérrez']
['Ruisseau-des-Mineurs' ',' 'un' 'territoire' 'non' 'organisé']	[5 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Ruisseau-des-Mineurs']
['Comté' 'de' 'Steuben' ',' 'Indiana' '(' 'sud-ouest' ')']	[5 6 6 0 5 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Comté de Steuben' 'LOC: Indiana']
['Xian' 'de' 'Jiexi']	[5 6 6]	['fr' 'fr' 'fr']	['LOC: Xian de Jiexi']
['REDIRECTION' 'Commissaire' 'Montalbano' '(' 'série' 'télévisée' ')']	[0 3 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Commissaire Montalbano ( série télévisée )']
['Cathédrale' 'Notre-Dame' 'de' 'Chartres' '(' 'vitraux' ')']	[3 4 4 4 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Cathédrale Notre-Dame de Chartres']
['A' 'terminé' 'la' 'saison' 'avec' 'les' 'Canadiens' 'de' 'Montréal']	[0 0 0 0 0 0 3 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Canadiens de Montréal']
['Henry' 'Nassau' ',' 'Lord' 'Auverquerque']	[1 2 2 2 2]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Henry Nassau , Lord Auverquerque']
['Shakti' '(' 'groupe' ')']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Shakti ( groupe )']
['Hayley' 'Mills' ',' 'Lionel' 'Jeffries']	[1 2 0 1 2]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Hayley Mills' 'PER: Lionel Jeffries']
['REDIRECTION' 'Art' 'of' 'Noise']	[0 3 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Art of Noise']
['Karin' 'Balzer' '13' 's' '3']	[1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Karin Balzer']
"[""'"" ""''"" 'Franz' 'Josef' 'Strauß' ""''"" ""'""]"	[0 0 1 2 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Franz Josef Strauß']
['***' 'Le' 'Tampon' '/' 'Trois-Mares' ')']	[0 5 6 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Le Tampon']
['Mariaan' 'de' 'Swardt' 'Neil' 'Broad']	[1 2 2 1 2]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Mariaan de Swardt' 'PER: Neil Broad']
['Eddie' 'Constantine' ',' 'Dominique' 'Wilms' ',' 'Dario' 'Moreno']	[1 2 0 1 2 0 1 2]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Eddie Constantine' 'PER: Dominique Wilms' 'PER: Dario Moreno']
['Fanny' 'Fischer' 'K-2' '-' ',' 'K-4' '-']	[1 2 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Fanny Fischer']
['Tournoi' 'de' 'tennis' 'de' 'Prague']	[3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Tournoi de tennis de Prague']
"[""'"" ""''"" 'Miikka' 'Anttila' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Miikka Anttila']
['REDIRECTION' 'District' 'du' 'Jura-Nord' 'vaudois']	[0 5 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: District du Jura-Nord vaudois']
"['Il' 'a' 'eu' 'sa' 'première' 'sélection' 'le' 'contre' 'les' 'Lions'
 'britanniques' '.']"	[0 0 0 0 0 0 0 0 0 3 4 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Lions britanniques']
"['Elle' 'rejoint' 'la' 'France' ',' 'Italie' ',' 'la' 'Suisse' 'et' 'la'
 'Belgique' '.']"	[0 0 0 5 0 5 0 0 5 0 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: France' 'LOC: Italie' 'LOC: Suisse' 'LOC: Belgique']
"[""'"" ""''"" 'Barbara' 'Schett' 'Barbara' 'Schwartz']"	[0 0 1 2 1 2]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Barbara Schett' 'PER: Barbara Schwartz']
['Bannière' 'unie' 'de' 'Darhan' 'Muminggan']	[5 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Bannière unie de Darhan Muminggan']
"['Union' 'démocrate' 'et' 'chrétienne' 'slovaque' '-' 'Parti' 'démocrate'
 '(' 'SDKÚ-DS' ')']"	[3 4 4 4 4 4 4 4 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Union démocrate et chrétienne slovaque - Parti démocrate']
['REDIRECTION' 'Classique' 'de' 'Saint-Sébastien' '2009']	[0 3 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Classique de Saint-Sébastien 2009']
"['Le' 'FC' 'Brugeois' ""s'écroule"" 'et' 'ne' 'récolte' 'que' 'treize'
 'points' ',' 'ce' 'dont' 'profite' 'le' 'Daring' 'CB' 'pour' 'lui'
 'ravir' 'la' 'deuxième' 'place' 'sur' 'le' 'fil' '.']"	[0 3 4 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 0 0 0 0 0 0 0 0 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']"	['ORG: FC Brugeois' 'ORG: Daring CB']
"['REDIRECTION' '160th' 'Special' 'Operations' 'Aviation' 'Regiment' '('
 'Airborne' ')']"	[0 3 4 4 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: 160th Special Operations Aviation Regiment ( Airborne )']
"['border' ""''"" 'Hawaï' ""''"" ""'""]"	[0 0 5 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Hawaï']
['Reginald' 'Frank' 'Doherty' 'Charlotte' 'Cooper']	[1 2 2 1 2]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Reginald Frank Doherty' 'PER: Charlotte Cooper']
"['**' 'bataillon' 'de' 'marche' ""d'infanterie"" 'légère' ""d'Afrique"" '.']"	[0 3 4 4 4 4 4 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"[""ORG: bataillon de marche d'infanterie légère d'Afrique""]"
"[""'"" ""''"" 'Elia' 'Viviani' ""''"" ""'"" '20px']"	[0 0 1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Elia Viviani']
"[""'"" ""''"" 'KSC' 'Lokeren' ""'"" ""''""]"	[0 0 3 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: KSC Lokeren']
"[""'"" ""''"" 'Éric' 'Woerth' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Éric Woerth']
['==' 'Pays' 'de' 'la' 'Loire' '==']	[0 5 6 6 6 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Pays de la Loire']
['Toungouska' 'pierreuse' '(' ',' ',' '/' 's' ')']	[5 6 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Toungouska pierreuse']
"['Éthiopienne' 'au' ',' 'la' 'ville' 'a' 'été' 'occupée' 'plusieurs'
 'fois' 'par' 'Empire' 'ottoman' '.']"	[5 0 0 0 0 0 0 0 0 0 0 5 6 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Éthiopienne' 'LOC: Empire ottoman']
['Savoie' '(' 'département' ')']	[5 6 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Savoie ( département )']
"[""'"" ""''"" 'Stade' 'sportif' 'sfaxien' ""'"" ""''""]"	[0 0 3 4 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Stade sportif sfaxien']
"['Ligue' 'de' 'justice' ""d'Amérique"" '(' 'cocréateur' 'Gardner' 'Fox' ')']"	[1 2 2 2 0 0 1 2 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"[""PER: Ligue de justice d'Amérique"" 'PER: Gardner Fox']"
"[""'"" ""''"" 'Justin' 'Wilson' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Justin Wilson']
"['La' 'Suisse' 'se' 'trouve' 'à' 'et' 'Allemagne' 'est' 'encore' 'plus'
 'proche' '.']"	[0 5 0 0 0 0 5 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Suisse' 'LOC: Allemagne']
"[""'"" ""''"" 'Kimi' 'Räikkönen' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Kimi Räikkönen']
"['Bolko' 'II' ""d'Opole""]"	[1 2 2]	['fr' 'fr' 'fr']	"[""PER: Bolko II d'Opole""]"
['Liste' 'des' 'communes' 'du' 'Gers']	[5 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Liste des communes du Gers']
['Concours' 'Eurovision' 'de' 'la' 'chanson' '2001']	[3 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Concours Eurovision de la chanson 2001']
['REDIRECTION' 'Championnat' 'des' 'îles' 'Féroé' 'de' 'football' '1984']	[0 5 6 6 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Championnat des îles Féroé de football 1984']
['Hirondelle' 'de' 'Tahiti']	[5 6 6]	['fr' 'fr' 'fr']	['LOC: Hirondelle de Tahiti']
"['Il' 'vit' ""aujourd'hui"" 'à' 'Córdoba' '.']"	[0 0 0 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Córdoba']
['Carling' '(' 'bière' ')']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Carling ( bière )']
['**' 'Bill' 'Russell' ',' 'Celtics' 'de' 'Boston']	[0 1 2 0 3 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Bill Russell' 'ORG: Celtics de Boston']
['Équipe' 'du' 'Canada' 'de' 'handball' 'masculin']	[3 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Équipe du Canada de handball masculin']
['====' 'Ferdinand' '(' '1587-1609' ')' '====']	[0 1 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Ferdinand']
['Megaman' 'Battle' 'Network' '4']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Megaman Battle Network 4']
"['Comté' ""d'Ellis"" '(' 'sud-est' ')']"	[5 6 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	"[""LOC: Comté d'Ellis""]"
['REDIRECTION' 'Radslavice' '(' 'district' 'de' 'Vyškov' ')']	[0 5 6 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Radslavice ( district de Vyškov )']
"['On' 'peut' 'aussi' 'citer' 'Johann' 'Nepomuk' 'Hummel' ',' 'Ludwig'
 'Spohr' '.']"	[0 0 0 0 1 2 2 0 1 2 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Johann Nepomuk Hummel' 'PER: Ludwig Spohr']
"['Le' 'Justicier' 'de' ""l'ombre"" ""''"" '(' ""'"" ""''"" ""'"" ')' '(' '2002–2004'
 ')']"	[3 4 4 4 0 0 0 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"[""ORG: Le Justicier de l'ombre""]"
"['Le' ""'"" ""''"" 'vol' '63' 'American' 'Airlines' ""''"" ""'"" 'est' 'un' 'vol'
 'régulier' 'reliant' 'Paris' 'à' 'Miami' '.']"	[0 0 0 0 0 3 4 0 0 0 0 0 0 0 5 0 5 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr' 'fr']"	['ORG: American Airlines' 'LOC: Paris' 'LOC: Miami']
['Natalia' 'Ishchenko' 'Svetlana' 'Romashina' '98,200' 'pts']	[1 2 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Natalia Ishchenko' 'PER: Svetlana Romashina']
"['Condom' ""''"" '(' 'km' '36' ')' ""''""]"	[5 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Condom']
['Forges' 'et' 'Chantiers' 'de' 'la' 'Gironde' 'Bordeaux']	[3 4 4 4 4 4 5]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Forges et Chantiers de la Gironde' 'LOC: Bordeaux']
"[""'"" ""''"" 'Jari' 'Mantila' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Jari Mantila']
['Émile' 'Loubet' '(' '1899-1906' ')']	[1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Émile Loubet']
"['Origny-Sainte-Benoite' ""''"" '(' 'km' '213' ')' ""''""]"	[5 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Origny-Sainte-Benoite']
['Entrée' 'en' 'lice' 'Cayenne' '(' 'DH' ')']	[0 0 0 5 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Cayenne']
['Xian' 'de' 'Nanhe']	[5 6 6]	['fr' 'fr' 'fr']	['LOC: Xian de Nanhe']
"[""'"" ""''"" 'Miss' 'Hong' 'Kong' ""''"" ""'""]"	[0 0 3 4 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Miss Hong Kong']
['Beauville' '(' 'Lot-et-Garonne' ')']	[5 0 5 0]	['fr' 'fr' 'fr' 'fr']	['LOC: Beauville' 'LOC: Lot-et-Garonne']
['11' 'saisons' 'en' 'Segunda' 'División' 'B']	[0 0 0 3 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Segunda División B']
"['Les' 'États-Unis' 'occupent' 'le' 'Honduras' '(' '1912-1919' ','
 '1924-1925' ')' '.']"	[0 5 0 0 5 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: États-Unis' 'LOC: Honduras']
['caché' 'dans' 'la' 'Tour' 'de' 'Londres' '.']	[0 0 0 3 4 4 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Tour de Londres']
['Innocent' 'VIII' '(' '1484–1492' ')']	[1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Innocent VIII']
"['Cependant' ',' 'dénoncés' 'par' 'Simone' 'de' 'Beauvoir' ',' 'les'
 'conjurés' 'sont' 'brutalement' 'attaqués' 'par' ""l'Oméga"" 'qui' 'tuent'
 'un' 'certain' 'nombre' ""d'entre"" 'eux' '.']"	[0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']"	['PER: Simone de Beauvoir']
"['**' 'Champion' ""d'Estonie"" 'en' '2010' ',' '2011' 'et' '2015']"	[0 3 4 0 5 0 5 0 5]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"[""ORG: Champion d'Estonie"" 'LOC: 2010' 'LOC: 2011' 'LOC: 2015']"
['Pas' 'de' 'Morgins']	[5 6 6]	['fr' 'fr' 'fr']	['LOC: Pas de Morgins']
"['Escola' 'tècnica' 'superior' ""d'enginyeria"" 'de' 'telecomunicacions'
 'de' 'Barcelona']"	[3 4 4 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"[""ORG: Escola tècnica superior d'enginyeria de telecomunicacions de Barcelona""]"
['Filipe' 'Vilaça' 'Oliveira']	[1 2 2]	['fr' 'fr' 'fr']	['PER: Filipe Vilaça Oliveira']
"[""'"" ""''"" 'Thomas' 'Lüthi' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Thomas Lüthi']
"['Les' 'EDF' 'hésitèrent' 'puis' 'eurent' 'quelques' 'mais' 'se' 'tinrent'
 'à' ""l'écart"" '.']"	[0 3 0 0 0 0 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: EDF']
"['Contre' 'la' 'Hongrie' ',' 'il' 'réalise' 'un' 'match' 'qualifié' 'd'
 ""'"" '(' '1-0' ')' '.']"	[0 0 3 0 0 0 0 0 0 0 0 0 0 0 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr']"	['ORG: Hongrie']
['Liste' 'des' 'communes' 'du' 'Morbihan']	[5 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Liste des communes du Morbihan']
